Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.57     0.00      116     0.00     0.00  glm::detail::compute_vec4_add<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00      116     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator+<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00      103     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      5.57     0.00      102     0.00     0.20  bind_normals(Object*, unsigned int&)
  0.00      5.57     0.00      102     0.00     0.20  bind_vertices(Object*, unsigned int&, int)
  0.00      5.57     0.00      102     0.00     0.20  Object::get_normals() const
  0.00      5.57     0.00      102     0.00     0.00  Object::get_num_of_normals() const
  0.00      5.57     0.00      101     0.00     0.20  Surface::get_vertices(int) const
  0.00      5.57     0.00      101     0.00     0.00  Surface::get_num_of_vertices(int) const
  0.00      5.57     0.00      100     0.00     0.00  Surface::get_surface_size() const
  0.00      5.57     0.00       98     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      5.57     0.00       98     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      5.57     0.00       98     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      5.57     0.00       98     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.00      5.57     0.00       98     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      5.57     0.00       98     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      5.57     0.00       98     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      5.57     0.00       98     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00      5.57     0.00       98     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      5.57     0.00       98     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      5.57     0.00       84     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      5.57     0.00       70     0.00     0.00  __gnu_cxx::__promote_2<float, int, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<float, int>(float, int)
  0.00      5.57     0.00       63     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      5.57     0.00       57     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::operator[](int)
  0.00      5.57     0.00       44     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      5.57     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      5.57     0.00       42     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      5.57     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      5.57     0.00       42     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      5.57     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      5.57     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      5.57     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      5.57     0.00       42     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      5.57     0.00       42     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      5.57     0.00       37     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::mat(float const&)
  0.00      5.57     0.00       37     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<int, float, int, int>(int, float, int, int)
  0.00      5.57     0.00       37     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<int, int, int, float>(int, int, int, float)
  0.00      5.57     0.00       37     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<float, int, int, int>(float, int, int, int)
  0.00      5.57     0.00       37     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<int, int, float, int>(int, int, float, int)
  0.00      5.57     0.00       37     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::scale<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00       36     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float)
  0.00      5.57     0.00       36     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::translate<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00       34     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator*=<float>(glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00       34     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00       23     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      5.57     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      5.57     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      5.57     0.00       21     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      5.57     0.00       21     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      5.57     0.00       21     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      5.57     0.00       21     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      5.57     0.00       21     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      5.57     0.00       21     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      5.57     0.00       21     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      5.57     0.00        8     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator-=<float>(glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        8     0.00     0.00  glm::detail::compute_vec4_sub<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        8     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        6     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      5.57     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      5.57     0.00        5     0.00     0.00  std::allocator<float>::allocator()
  0.00      5.57     0.00        5     0.00     0.00  std::allocator<float>::~allocator()
  0.00      5.57     0.00        5     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      5.57     0.00        5     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl()
  0.00      5.57     0.00        5     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      5.57     0.00        5     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00      5.57     0.00        5     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base()
  0.00      5.57     0.00        5     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      5.57     0.00        5     0.00     0.00  std::vector<float, std::allocator<float> >::vector()
  0.00      5.57     0.00        5     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      5.57     0.00        5     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      5.57     0.00        5     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      5.57     0.00        4     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::mat(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        4     0.00     1.79  Sphere::divide_triangle(glm::vec<3, float, (glm::qualifier)0>&, glm::vec<3, float, (glm::qualifier)0>&, glm::vec<3, float, (glm::qualifier)0>&, int)
  0.00      5.57     0.00        3     0.00     0.00  Shader::check_errors(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      5.57     0.00        3     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      5.57     0.00        3     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      5.57     0.00        3     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*)
  0.00      5.57     0.00        3     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      5.57     0.00        3     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char const*>(char const*, char const*, std::__false_type)
  0.00      5.57     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      5.57     0.00        3     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      5.57     0.00        3     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      5.57     0.00        3     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      5.57     0.00        3     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      5.57     0.00        2     0.00     0.00  CycleTimer::currentTicks()
  0.00      5.57     0.00        2     0.00    10.00  CycleTimer::currentSeconds()
  0.00      5.57     0.00        2     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::mat(glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        2     0.00     0.00  glm::detail::compute_inverse<4, 4, float, (glm::qualifier)0, false>::call(glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        2     0.00     0.00  glm::detail::compute_transpose<4, 4, float, (glm::qualifier)0, false>::call(glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        2     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::inverse<4, 4, float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        2     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::transpose_type glm::transpose<4, 4, float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00        2     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, float const&)
  0.00      5.57     0.00        2     0.00     0.00  Object::Object()
  0.00      5.57     0.00        2     0.00     0.00  Object::~Object()
  0.00      5.57     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      5.57     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      5.57     0.00        2     0.00     0.00  std::allocator<int>::allocator()
  0.00      5.57     0.00        2     0.00     0.00  std::allocator<int>::~allocator()
  0.00      5.57     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      5.57     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      5.57     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      5.57     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      5.57     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      5.57     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      5.57     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      5.57     0.00        2     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      5.57     0.00        2     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      5.57     0.00        2     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      5.57     0.00        2     0.00     0.00  std::operator|(std::_Ios_Iostate, std::_Ios_Iostate)
  0.00      5.57     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z25framebuffer_size_callbackP10GLFWwindowii
  0.00      5.57     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6ShaderC2EPKcS1_
  0.00      5.57     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      5.57     0.00        1     0.00     0.39  bind_sphere(Sphere*, unsigned int&, unsigned int&, unsigned int&)
  0.00      5.57     0.00        1     0.00     0.00  bind_indices(Object*, unsigned int&)
  0.00      5.57     0.00        1     0.00     0.39  bind_surface(Surface*, unsigned int&, unsigned int&, unsigned int&, unsigned int&)
  0.00      5.57     0.00        1     0.00     0.00  deallocate_and_terminate(Shader*, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&)
  0.00      5.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.57     0.00        1     0.00     0.00  find_coreGL()
  0.00      5.57     0.00        1     0.00     0.00  find_extensionsGL()
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_1_0(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_1_1(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_1_2(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_1_3(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_1_4(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_1_5(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_2_0(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_2_1(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_3_0(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_3_1(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_3_2(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  load_GL_VERSION_3_3(void* (*)(char const*))
  0.00      5.57     0.00        1     0.00     0.00  get_exts()
  0.00      5.57     0.00        1     0.00     0.00  free_exts()
  0.00      5.57     0.00        1     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::perspective<float>(float, float, float, float)
  0.00      5.57     0.00        1     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::perspectiveRH_NO<float>(float, float, float, float)
  0.00      5.57     0.00        1     0.00     0.00  float glm::abs<float>(float)
